nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180000053,P,Reguler,SMKN 1 TAMBUN SELATAN,Kab Bekasi,Jawa Barat,TEKNIK INFORMATIKA,MANAJEMEN,37,82.75,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3,7.5,70.5,,,,
4180000054,L,Reguler,MAN RANCAH,Kab Ciamis,Jawa Barat,ILMU POLITIK,PENDIDIKAN LUAR SEKOLAH,50,81.03,PENDIDIKAN LUAR SEKOLAH,pil_2,10.1,10.1,1,0,10.1,10.1,10.1,10.1,10,71.7,3.5,3.74,,
4180000057,L,Reguler,SMAN 6 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN GEOGRAFI,PENDIDIKAN LUAR SEKOLAH,182,81.28,PENDIDIKAN GEOGRAFI,pil_1,10.4,10.2,1,0,10.2,10.2,10.2,10.2,11.3,73.4,3.6,3.25,,
4180000086,P,Reguler,SMAN 5 CIREBON,Kota Cirebon,Jawa Barat,KESEHATAN MASYARAKAT,AGRIBISNIS ,152,81.25,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2,7.5,68.5,,,,
4180000137,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,KESEHATAN MASYARAKAT,MANAJEMEN,187,80.58,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1,11.3,72.8,,,,
4180000187,L,Reguler,SMKS GLOBAL MULIA,Kab Bekasi,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,65,83.94,Tidak Lulus,Tidak Lulus,10.2,10.5,1,0,10.5,10.5,10.5,10.5,7.5,71.1,,,,
4180000228,P,Reguler,MAN PANGANDARAN,Kab Ciamis,Jawa Barat,MANAJEMEN,ILMU POLITIK,54,87.11,MANAJEMEN,pil_1,11,10.9,1,0,10.9,10.9,10.9,10.9,10,76.5,3.52,3.79,,
4180000249,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,AKUNTANSI,MANAJEMEN,187,81.82,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2,11.3,73.7,,,,
4180000318,P,Bidik Misi,SMKN 1 GARUT,Kab Garut,Jawa Barat,EKONOMI PEMBANGUNAN,PENDIDIKAN EKONOMI,193,89.23,Tidak Lulus,Tidak Lulus,10.3,11.2,1,0,11.2,11.2,11.2,11.2,9.4,76.5,,,,
4180000411,P,Bidik Misi,SMAN 1 CINEAM,Kab Tasikmalaya,Jawa Barat,EKONOMI SYARIAH,AKUNTANSI,76,84.39,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,10.6,75,,,,
4180000434,P,Bidik Misi,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN GEOGRAFI,132,84.23,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,11.3,75.5,,,,
4180000444,P,Bidik Misi,SMAN 1 CINEAM,Kab Tasikmalaya,Jawa Barat,EKONOMI SYARIAH,MANAJEMEN,76,84.2,Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5,10.6,74.8,,,,
4180000453,L,Reguler,SMKS BINA NUSANTARA INFORMATIKA,Kab Bekasi,Jawa Barat,TEKNIK INFORMATIKA,TEKNIK SIPIL ,59,80.22,Tidak Lulus,Tidak Lulus,10.5,10,1,0,10,10,10,10,7.5,69.2,,,,
4180000457,P,Reguler,MAS PERSIS CEMPAKAWARNA,Kota Tasikmalaya,Jawa Barat,AKUNTANSI,MANAJEMEN,12,82.16,Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3,11.3,73.8,,,,
4180000461,P,Bidik Misi,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,EKONOMI PEMBANGUNAN,MANAJEMEN,183,80.34,Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10,11.3,72.6,,,,
4180000497,P,Reguler,SMAS TARUNA TERPADU,Kab Bogor,Jawa Barat,AGRIBISNIS ,KESEHATAN MASYARAKAT,184,86.43,Tidak Lulus,Tidak Lulus,10.9,10.8,1,0,10.8,10.8,10.8,10.8,7.5,72.4,,,,
4180000546,P,Bidik Misi,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK SIPIL ,AGRIBISNIS ,149,82.96,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,11.3,73.6,,,,
4180000591,P,Bidik Misi,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN GEOGRAFI,132,84.15,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,11.3,75.5,,,,
4180000604,P,Bidik Misi,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,AGROTEKNOLOGI ,AGRIBISNIS ,149,84.12,Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5,11.3,75.5,,,,
4180000615,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,KESEHATAN MASYARAKAT,187,82.5,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3,11.3,74.2,,,,
4180000621,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,187,82.51,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3,11.3,74.3,,,,
4180000700,P,Bidik Misi,SMAN 1 CINEAM,Kab Tasikmalaya,Jawa Barat,AGRIBISNIS ,AGROTEKNOLOGI ,69,85.28,Tidak Lulus,Tidak Lulus,10.8,10.7,1.1,0,10.7,10.7,10.7,10.7,10.6,75.8,,,,
4180014717,P,Reguler,SMAN 8 GARUT,Kab Garut,Jawa Barat,AGRIBISNIS,AGROTEKNOLOGI,168,85.45,AGRIBISNIS,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7,9.4,74.6,3.5,3.25,,
4180000739,P,Reguler,SMAN 1 CINEAM,Kab Tasikmalaya,Jawa Barat,KESEHATAN MASYARAKAT,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,69,82.56,Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3,10.6,73.7,,,,
4180000744,P,Bidik Misi,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN MATEMATIKA,MANAJEMEN,187,81.95,Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2,11.3,73.8,,,,
4180000838,P,Reguler,SMAN 1 PARUNG KUDA,Kab Sukabumi,Jawa Barat,PENDIDIKAN SEJARAH,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,135,83.27,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,7.5,71,,,,
4180000855,L,Reguler,SMAN 12 GARUT,Kab Garut,Jawa Barat,TEKNIK SIPIL ,PENDIDIKAN MATEMATIKA,83,84.07,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,9.4,73.6,,,,
4180000888,L,Reguler,MAN PANGANDARAN,Kab Ciamis,Jawa Barat,MANAJEMEN,ILMU POLITIK,54,86.51,MANAJEMEN,pil_1,11,10.8,1,0,10.8,10.8,10.8,10.8,10,76,2.43,3.04,,
4180000949,P,Reguler,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,AKUNTANSI,EKONOMI PEMBANGUNAN,132,81.87,Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2,11.3,73.8,,,,
4180001155,P,Reguler,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN GEOGRAFI,PENDIDIKAN SEJARAH,132,81.93,PENDIDIKAN GEOGRAFI,pil_1,10.4,10.2,1,0,10.2,10.2,10.2,10.2,11.3,73.8,3.3,3.42,,
4180001161,P,Bidik Misi,SMAN 2 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN MATEMATIKA,PENDIDIKAN FISIKA,277,88.78,PENDIDIKAN MATEMATIKA,pil_1,11.3,11.1,1,0,11.1,11.1,11.1,11.1,11.3,79,3.86,3.76,,
4180001283,P,Reguler,SMAN 9 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN GEOGRAFI,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,132,81.08,PENDIDIKAN GEOGRAFI,pil_1,10.3,10.1,1,0,10.1,10.1,10.1,10.1,11.3,73.2,3.3,2.92,,
4180001356,L,Reguler,SMKN 1 CIANJUR,Kab Cianjur,Jawa Barat,TEKNIK INFORMATIKA,TEKNIK ELEKTRO ,102,81.58,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2,7.5,69.7,,,,
4180001367,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN BIOLOGI,187,81.1,Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1,11.3,73.2,,,,
4180001550,P,Reguler,SMAN 8 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,EKONOMI PEMBANGUNAN,187,80.28,Tidak Lulus,Tidak Lulus,10.3,10,1,0,10,10,10,10,11.3,72.7,,,,
4180001658,P,Reguler,SMAN 1 PARUNG KUDA,Kab Sukabumi,Jawa Barat,AKUNTANSI,MANAJEMEN,135,83.81,Tidak Lulus,Tidak Lulus,10.6,10.5,1.1,0,10.5,10.5,10.5,10.5,7.5,71.5,,,,
